Date,Match,Team,Player,Position,PropType,Projected,SampleSize,RecentValues,Line,OverOdds,UnderOdds,ActualValue,HitOrMiss
2026-09-20T17:00Z,Minnesota Vikings @ Chicago Bears,Minnesota Vikings,Justin Jefferson,WR,Receptions,5.0,1,8.0,,,,,
2026-09-20T17:00Z,Minnesota Vikings @ Chicago Bears,Minnesota Vikings,Kyler Murray,QB,Passing Yards,180.8,1,18.0,,,,,
2026-09-20T17:00Z,Minnesota Vikings @ Chicago Bears,Minnesota Vikings,T.J. Hockenson,TE,Receptions,3.6,1,4.0,,,,,
2026-09-20T17:00Z,Minnesota Vikings @ Chicago Bears,Minnesota Vikings,Aaron Jones Sr.,RB,Rushing Yards,55.0,1,40.0,,,,,
2026-09-20T17:00Z,Minnesota Vikings @ Chicago Bears,Chicago Bears,Rome Odunze,WR,Receptions,3.5,1,2.0,,,,,
2026-09-20T17:00Z,Minnesota Vikings @ Chicago Bears,Chicago Bears,Caleb Williams,QB,Passing Yards,243.5,1,269.0,,,,,
2026-09-20T17:00Z,Minnesota Vikings @ Chicago Bears,Chicago Bears,Colston Loveland,TE,Receptions,2.6,1,0.0,,,,,
2026-09-20T17:00Z,Minnesota Vikings @ Chicago Bears,Chicago Bears,D'Andre Swift,RB,Rushing Yards,76.0,1,124.0,,,,,
2026-09-18T00:15Z,Detroit Lions @ Buffalo Bills,Detroit Lions,Amon-Ra St. Brown,WR,Receptions,5.5,1,10.0,,,,,
2026-09-18T00:15Z,Detroit Lions @ Buffalo Bills,Detroit Lions,Jared Goff,QB,Passing Yards,227.8,1,206.0,,,,,
2026-09-18T00:15Z,Detroit Lions @ Buffalo Bills,Detroit Lions,Sam LaPorta,TE,Receptions,3.9,1,5.0,,,,,
2026-09-18T00:15Z,Detroit Lions @ Buffalo Bills,Detroit Lions,Jahmyr Gibbs,RB,Rushing Yards,84.0,1,156.0,,,,,
2026-09-18T00:15Z,Detroit Lions @ Buffalo Bills,Buffalo Bills,DJ Moore,WR,Receptions,4.2,1,5.0,,,,,
2026-09-18T00:15Z,Detroit Lions @ Buffalo Bills,Buffalo Bills,Josh Allen,QB,Passing Yards,259.8,1,334.0,,,,,
2026-09-18T00:15Z,Detroit Lions @ Buffalo Bills,Buffalo Bills,Dalton Kincaid,TE,Receptions,3.9,1,5.0,,,,,
2026-09-18T00:15Z,Detroit Lions @ Buffalo Bills,Buffalo Bills,James Cook III,RB,Rushing Yards,59.2,1,57.0,,,,,
2026-09-20T17:00Z,Cincinnati Bengals @ Houston Texans,Cincinnati Bengals,Ja'Marr Chase,WR,Receptions,3.5,1,2.0,,,,,
2026-09-20T17:00Z,Cincinnati Bengals @ Houston Texans,Cincinnati Bengals,Joe Burrow,QB,Passing Yards,239.8,1,254.0,,,,,
2026-09-20T17:00Z,Cincinnati Bengals @ Houston Texans,Cincinnati Bengals,Mike Gesicki,TE,Receptions,3.9,1,5.0,,,,,
2026-09-20T17:00Z,Cincinnati Bengals @ Houston Texans,Cincinnati Bengals,Chase Brown,RB,Rushing Yards,59.0,1,56.0,,,,,
2026-09-20T17:00Z,Cincinnati Bengals @ Houston Texans,Houston Texans,Nico Collins,WR,Receptions,4.8,1,7.0,,,,,
2026-09-20T17:00Z,Cincinnati Bengals @ Houston Texans,Houston Texans,C.J. Stroud,QB,Passing Yards,244.8,1,274.0,,,,,
2026-09-20T17:00Z,Cincinnati Bengals @ Houston Texans,Houston Texans,Dalton Schultz,TE,Receptions,3.6,1,4.0,,,,,
2026-09-20T17:00Z,Cincinnati Bengals @ Houston Texans,Houston Texans,David Montgomery,RB,Rushing Yards,60.0,1,60.0,,,,,
2026-09-20T17:00Z,New Orleans Saints @ Baltimore Ravens,New Orleans Saints,Chris Olave,WR,Receptions,5.5,1,10.0,,,,,
2026-09-20T17:00Z,New Orleans Saints @ Baltimore Ravens,New Orleans Saints,Tyler Shough,QB,Passing Yards,278.8,1,410.0,,,,,
2026-09-20T17:00Z,New Orleans Saints @ Baltimore Ravens,New Orleans Saints,Juwan Johnson,TE,Receptions,3.4,1,3.0,,,,,
2026-09-20T17:00Z,New Orleans Saints @ Baltimore Ravens,New Orleans Saints,Travis Etienne Jr.,RB,Rushing Yards,56.5,1,46.0,,,,,
2026-09-20T17:00Z,New Orleans Saints @ Baltimore Ravens,Baltimore Ravens,Zay Flowers,WR,Receptions,4.2,1,5.0,,,,,
2026-09-20T17:00Z,New Orleans Saints @ Baltimore Ravens,Baltimore Ravens,Lamar Jackson,QB,Passing Yards,257.2,1,324.0,,,,,
2026-09-20T17:00Z,New Orleans Saints @ Baltimore Ravens,Baltimore Ravens,Mark Andrews,TE,Receptions,3.6,1,4.0,,,,,
2026-09-20T17:00Z,New Orleans Saints @ Baltimore Ravens,Baltimore Ravens,Derrick Henry,RB,Rushing Yards,81.0,1,144.0,,,,,
2026-09-20T17:00Z,Carolina Panthers @ Atlanta Falcons,Carolina Panthers,Tetairoa McMillan,WR,Receptions,4.2,1,5.0,,,,,
2026-09-20T17:00Z,Carolina Panthers @ Atlanta Falcons,Carolina Panthers,Bryce Young,QB,Passing Yards,266.5,1,361.0,,,,,
2026-09-20T17:00Z,Carolina Panthers @ Atlanta Falcons,Carolina Panthers,Tommy Tremble,TE,Receptions,3.4,1,3.0,,,,,
2026-09-20T17:00Z,Carolina Panthers @ Atlanta Falcons,Carolina Panthers,Chuba Hubbard,RB,Rushing Yards,57.2,1,49.0,,,,,
2026-09-20T17:00Z,Carolina Panthers @ Atlanta Falcons,Atlanta Falcons,Drake London,WR,Receptions,3.5,1,2.0,,,,,
2026-09-20T17:00Z,Carolina Panthers @ Atlanta Falcons,Atlanta Falcons,Michael Penix Jr.,QB,Passing Yards,232.9,5,250.0; 313.0; 172.0; 135.0; 298.0,,,,,
2026-09-20T17:00Z,Carolina Panthers @ Atlanta Falcons,Atlanta Falcons,Kyle Pitts Sr.,TE,Receptions,2.6,1,0.0,,,,,
2026-09-20T17:00Z,Carolina Panthers @ Atlanta Falcons,Atlanta Falcons,Bijan Robinson,RB,Rushing Yards,65.8,1,83.0,,,,,
2026-09-21T00:20Z,Indianapolis Colts @ Kansas City Chiefs,Indianapolis Colts,Alec Pierce,WR,Receptions,4.0,1,4.0,,,,,
2026-09-21T00:20Z,Indianapolis Colts @ Kansas City Chiefs,Indianapolis Colts,Daniel Jones,QB,Passing Yards,217.8,1,166.0,,,,,
2026-09-21T00:20Z,Indianapolis Colts @ Kansas City Chiefs,Indianapolis Colts,Tyler Warren,TE,Receptions,3.4,1,3.0,,,,,
2026-09-21T00:20Z,Indianapolis Colts @ Kansas City Chiefs,Indianapolis Colts,Jonathan Taylor,RB,Rushing Yards,69.5,1,98.0,,,,,
2026-09-21T00:20Z,Indianapolis Colts @ Kansas City Chiefs,Kansas City Chiefs,Rashee Rice,WR,Receptions,3.5,1,2.0,,,,,
2026-09-21T00:20Z,Indianapolis Colts @ Kansas City Chiefs,Kansas City Chiefs,Patrick Mahomes,QB,Passing Yards,222.2,1,184.0,,,,,
2026-09-21T00:20Z,Indianapolis Colts @ Kansas City Chiefs,Kansas City Chiefs,Travis Kelce,TE,Receptions,3.4,1,3.0,,,,,
2026-09-21T00:20Z,Indianapolis Colts @ Kansas City Chiefs,Kansas City Chiefs,Kenneth Walker III,RB,Rushing Yards,88.2,1,173.0,,,,,
2026-09-20T17:00Z,Cleveland Browns @ Tampa Bay Buccaneers,Cleveland Browns,Jerry Jeudy,WR,Receptions,3.5,1,2.0,,,,,
2026-09-20T17:00Z,Cleveland Browns @ Tampa Bay Buccaneers,Cleveland Browns,Deshaun Watson,QB,Passing Yards,227.5,1,205.0,,,,,
2026-09-20T17:00Z,Cleveland Browns @ Tampa Bay Buccaneers,Cleveland Browns,Harold Fannin Jr.,TE,Receptions,3.1,1,2.0,,,,,
2026-09-20T17:00Z,Cleveland Browns @ Tampa Bay Buccaneers,Cleveland Browns,Quinshon Judkins,RB,Rushing Yards,53.2,1,33.0,,,,,
2026-09-20T17:00Z,Cleveland Browns @ Tampa Bay Buccaneers,Tampa Bay Buccaneers,Emeka Egbuka,WR,Receptions,4.2,1,5.0,,,,,
2026-09-20T17:00Z,Cleveland Browns @ Tampa Bay Buccaneers,Tampa Bay Buccaneers,Baker Mayfield,QB,Passing Yards,230.2,1,216.0,,,,,
2026-09-20T17:00Z,Cleveland Browns @ Tampa Bay Buccaneers,Tampa Bay Buccaneers,Cade Otton,TE,Receptions,3.4,1,3.0,,,,,
2026-09-20T17:00Z,Cleveland Browns @ Tampa Bay Buccaneers,Tampa Bay Buccaneers,Bucky Irving,RB,Rushing Yards,56.2,1,45.0,,,,,
2026-09-20T17:00Z,Green Bay Packers @ New York Jets,Green Bay Packers,Christian Watson,WR,Receptions,4.5,1,6.0,,,,,
2026-09-20T17:00Z,Green Bay Packers @ New York Jets,Green Bay Packers,Jordan Love,QB,Passing Yards,273.0,1,387.0,,,,,
2026-09-20T17:00Z,Green Bay Packers @ New York Jets,Green Bay Packers,Tucker Kraft,TE,Receptions,3.4,1,3.0,,,,,
2026-09-20T17:00Z,Green Bay Packers @ New York Jets,Green Bay Packers,MarShawn Lloyd,RB,Rushing Yards,54.2,1,37.0,,,,,
2026-09-20T17:00Z,Green Bay Packers @ New York Jets,New York Jets,Garrett Wilson,WR,Receptions,4.5,1,6.0,,,,,
2026-09-20T17:00Z,Green Bay Packers @ New York Jets,New York Jets,Geno Smith,QB,Passing Yards,230.0,1,215.0,,,,,
2026-09-20T17:00Z,Green Bay Packers @ New York Jets,New York Jets,Mason Taylor,TE,Receptions,3.1,1,2.0,,,,,
2026-09-20T17:00Z,Green Bay Packers @ New York Jets,New York Jets,Breece Hall,RB,Rushing Yards,70.5,1,102.0,,,,,
2026-09-20T20:25Z,Washington Commanders @ Dallas Cowboys,Washington Commanders,Terry McLaurin,WR,Receptions,3.5,1,2.0,,,,,
2026-09-20T20:25Z,Washington Commanders @ Dallas Cowboys,Washington Commanders,Jayden Daniels,QB,Passing Yards,217.2,1,164.0,,,,,
